L1_orth,L1_L1wiktionary,L1_enwiktionary,L1_ipa,L1_en,L1_disambiguated,L1_suffix,L1_pos,L1_year,L1_macro_family,L1_family,L1_language,L1_region,L1_type,L1_loan,L1_certainty,L1_closest_wold_concept,L1_borrowability,L1_closest_wold_concept_similarity
fotel,https://hu.wiktionary.org/wiki/fotel#Magyar,https://en.wiktionary.org/wiki/fotel#Hungarian,fotɛl,armchair,0,-,n,1848,no_info,no_info,no_info,no_info,internationalism,+,certain,"('armchair', 'spectacles')",0.52173913,0.453084081
fotográfia,https://hu.wiktionary.org/wiki/fotográfia#Magyar,https://en.wiktionary.org/wiki/fotográfia#Hungarian,fotoɡraːfiɒ,photography,0,-,n,1844,no_info,no_info,no_info,no_info,internationalism,+,certain,"('photography', 'film')",0.743243243,0.651594579
főváros,https://hu.wiktionary.org/wiki/főváros#Magyar,https://en.wiktionary.org/wiki/főváros#Hungarian,føːvaːroʃ,"capital, capital_city, capital_town",0,-,n,1416,no_info,no_info,no_info,no_info,no_info,-,certain,"('capital', 'east')",0.233695652,0.74344945
föveg,https://hu.wiktionary.org/wiki/föveg#Magyar,https://en.wiktionary.org/wiki/föveg#Hungarian,føvɛɡ,hat,0,-,n,1585,no_info,no_info,no_info,no_info,no_info,-,certain,"('hat', 'hat')",0.492307692,0.99999994
föveny,https://hu.wiktionary.org/wiki/föveny#Magyar,https://en.wiktionary.org/wiki/föveny#Hungarian,føvɛɲ,"gravel, grit",0,-,n,1055,no_info,no_info,no_info,no_info,derivative,-,uncertain,"('gravel', 'sand')",0.099447514,0.780751526
foxi,https://hu.wiktionary.org/wiki/foxi#Magyar,https://en.wiktionary.org/wiki/foxi#Hungarian,foksi,fox_terrier,0,-,n,1918,IE,Germanic,German,no_info,no_info,+,certain,(),0,-1
foxtrott,https://hu.wiktionary.org/wiki/foxtrott#Magyar,https://en.wiktionary.org/wiki/foxtrott#Hungarian,fokstrotː,foxtrot,0,-,n,1921,no_info,no_info,no_info,no_info,internationalism,+,certain,"('foxtrot', 'fishhook')",0.184931507,0.513159156
frakció,https://hu.wiktionary.org/wiki/frakció#Magyar,https://en.wiktionary.org/wiki/frakció#Hungarian,frɒkt͡sioː,"faction, fraction",0,-,n,1577,IE,Romance,Latin,no_info,general,+,certain,"('faction', 'clan')",0.44893617,0.673142374
frakk,https://hu.wiktionary.org/wiki/frakk#Magyar,https://en.wiktionary.org/wiki/frakk#Hungarian,frɒkː,"swallow-tail, tail_coat, tail-coat, tails, white_tie",0,-,n,1789,IE,Germanic,German,no_info,no_info,+,certain,"('tails', 'tail')",0.117021277,0.843654275
franc,https://hu.wiktionary.org/wiki/franc#Magyar,https://en.wiktionary.org/wiki/franc#Hungarian,frɒnt͡s,sucker,0,-,n,1501,no_info,no_info,no_info,no_info,no_info,-,certain,"('sucker', 'spit')",0.055555556,0.68467021
francia,https://hu.wiktionary.org/wiki/francia#Magyar,https://en.wiktionary.org/wiki/francia#Hungarian,frɒnt͡siɒ,"French, froggy",0,-,a,1413,no_info,no_info,no_info,no_info,no_info,-,certain,"('froggy', 'shit')",0.14953271,0.487577915
franciakulcs,https://hu.wiktionary.org/wiki/franciakulcs#Magyar,https://en.wiktionary.org/wiki/franciakulcs#Hungarian,frɒnt͡siɒkult͡ʃ,"adjustable_spanner, monkey_wrench, monkey-wrench, pipe_wrench, wrench",0,-,a,1882,IE,Germanic,German,no_info,calque, compound,"+,","('wrench', 'screwdriver')",0.592682927,0.828800559
franciskánus,https://hu.wiktionary.org/wiki/franciskánus#Magyar,https://en.wiktionary.org/wiki/franciskánus#Hungarian,frɒnt͡siʃkaːnuʃ,Franciscan,0,-,n,1571,no_info,no_info,no_info,no_info,from proper noun,-,certain,(),0,-1
frank,https://hu.wiktionary.org/wiki/frank#Magyar,https://en.wiktionary.org/wiki/frank#Hungarian,frɒnk,frank,1,-,n,1575,IE,Romance,Latin,no_info,general,+,certain,"('frank', 'friend')",0.413385827,0.690367281
frank,https://hu.wiktionary.org/wiki/frank#Magyar,https://en.wiktionary.org/wiki/frank#Hungarian,frɒnk,Franc,1,-,n,1575,IE,Romance,Latin,no_info,general,+,certain,(),0,-1
frank,https://hu.wiktionary.org/wiki/frank#Magyar,https://en.wiktionary.org/wiki/frank#Hungarian,frɒnk,franc,2,-,n,1698,no_info,no_info,no_info,no_info,internationalism,+,certain,"('franc', 'pound')",0.218623482,0.655055225
frankó,https://hu.wiktionary.org/wiki/frankó#Magyar,https://en.wiktionary.org/wiki/frankó#Hungarian,frɒnkoː,"boss, hunky-dory, slick, spiffy, up_front",0,-,a,1780,IE,Germanic,German,no_info,no_info,+,certain,"('slick', 'rough')",0.149466192,0.713644683
fránya,https://hu.wiktionary.org/wiki/fránya#Magyar,https://en.wiktionary.org/wiki/fránya#Hungarian,fraːɲɒ,"damn, damned",0,-,n,1799,unknown,unknown,unknown,unknown,unknown,+,certain,"('damn', 'stupid')",0.360619469,0.786337256
frappáns,https://hu.wiktionary.org/wiki/frappáns#Magyar,https://en.wiktionary.org/wiki/frappáns#Hungarian,frɒpːaːnʃ,catchy,0,-,a,1803,IE,Germanic,German,no_info,no_info,+,certain,"('catchy', 'song')",0.223684211,0.641002178
frász,https://hu.wiktionary.org/wiki/frász#Magyar,https://en.wiktionary.org/wiki/frász#Hungarian,fraːs,slosh,0,-,n,1806,IE,Germanic,German,Bavaria,no_info,+,certain,"('slosh', 'groan')",0.140718563,0.532034695
frászkarika,https://hu.wiktionary.org/wiki/frászkarika#Magyar,https://en.wiktionary.org/wiki/frászkarika#Hungarian,fraːskɒrikɒ,fright_Night,0,-,n,1930,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
fráter,https://hu.wiktionary.org/wiki/fráter#Magyar,https://en.wiktionary.org/wiki/fráter#Hungarian,fraːtɛr,"critter, cuss",0,-,n,1372,IE,Romance,Latin,no_info,general,+,certain,"('cuss', 'sneeze')",0.115291262,0.669454277
frázis,https://hu.wiktionary.org/wiki/frázis#Magyar,https://en.wiktionary.org/wiki/frázis#Hungarian,fraːziʃ,"phrase, phrases",0,-,n,1588,IE,Romance,Latin,no_info,general,+,certain,"('phrase', 'word')",0.254299754,0.916180134
fregoli,https://hu.wiktionary.org/wiki/fregoli#Magyar,https://en.wiktionary.org/wiki/fregoli#Hungarian,frɛɡoli,multipurpose,0,-,a,1920,no_info,no_info,no_info,no_info,from proper noun,-,certain,"('multipurpose', 'build')",0.198921106,0.493010283
freskó,https://hu.wiktionary.org/wiki/freskó#Magyar,https://en.wiktionary.org/wiki/freskó#Hungarian,frɛʃkoː,mural,0,-,n,1857,no_info,no_info,no_info,no_info,internationalism,+,certain,"('mural', 'statue')",0.339622642,0.729599833
fricska,https://hu.wiktionary.org/wiki/fricska#Magyar,https://en.wiktionary.org/wiki/fricska#Hungarian,frit͡ʃkɒ,"fillip, flick, flip, rap",0,-,n,1748,no_info,no_info,no_info,no_info,no_info,-,certain,"('rap', 'rock')",0.105,0.766244709
fridzsider,https://hu.wiktionary.org/wiki/fridzsider#Magyar,https://en.wiktionary.org/wiki/fridzsider#Hungarian,frid͡ʒidɛr,refrigerator,0,-,a,1938,IE,Germanic,German,Austria,no_info,+,certain,"('refrigerator', 'oven')",0.513888889,0.735312641
fríg,https://hu.wiktionary.org/wiki/fríg#Magyar,https://en.wiktionary.org/wiki/fríg#Hungarian,friːɡ,Phrygian,0,-,a,1804,IE,Romance,Latin,no_info,general,+,certain,(),0,-1
frigid,https://hu.wiktionary.org/wiki/frigid#Magyar,https://en.wiktionary.org/wiki/frigid#Hungarian,friɡid,frigid,0,-,v,1908,no_info,no_info,no_info,no_info,internationalism,+,certain,"('frigid', 'fog')",0.140625,0.680055022
frigy,https://hu.wiktionary.org/wiki/frigy#Magyar,https://en.wiktionary.org/wiki/frigy#Hungarian,friɟ,covenant,0,-,n,1395,IE,Germanic,German,Bavaria,no_info,+,certain,"('covenant', 'church')",0.658482143,0.562317371
friss,https://hu.wiktionary.org/wiki/friss#Magyar,https://en.wiktionary.org/wiki/friss#Hungarian,friʃː,"beany, cool, crispy, crisp, fresh, green, hot, just_cooked, lush, sweet",0,-,a,1437,IE,Germanic,German,Bavaria,no_info,+,certain,"('hot', 'hot')",0.085893855,1.000000119
frivol,https://hu.wiktionary.org/wiki/frivol#Magyar,https://en.wiktionary.org/wiki/frivol#Hungarian,frivol,"corky, frivolous",0,-,a,1795,no_info,no_info,no_info,no_info,internationalism,+,certain,"('frivolous', 'greedy')",0.289017341,0.577038646
fríz,https://hu.wiktionary.org/wiki/fríz#Magyar,https://en.wiktionary.org/wiki/fríz#Hungarian,friːz,Frisian,1,-,a,1559,IE,Romance,Latin,no_info,general,+,certain,(),0,-1
fríz,https://hu.wiktionary.org/wiki/fríz#Magyar,https://en.wiktionary.org/wiki/fríz#Hungarian,friːz,frieze,2,-,n,1894,no_info,no_info,no_info,no_info,internationalism,+,certain,"('frieze', 'stone')",0.105,0.586649418
frizura,https://hu.wiktionary.org/wiki/frizura#Magyar,https://en.wiktionary.org/wiki/frizura#Hungarian,frizurɒ,"clip, hair-do, hairdo, hairstyle, head_of_hair, headdress",0,-,n,1777,IE,Germanic,German,no_info,no_info,+,certain,"('headdress', 'headdress')",0.368131868,0.99999994
frocliz,https://hu.wiktionary.org/wiki/frocliz#Magyar,https://en.wiktionary.org/wiki/frocliz#Hungarian,frot͡sliz,frocliz,0,-,n,1904,IE,Germanic,German,Bavaria,no_info,+,certain,(),0,-1
fröcsög,https://hu.wiktionary.org/wiki/fröcsög#Magyar,https://en.wiktionary.org/wiki/fröcsög#Hungarian,frøt͡ʃøɡ,splutter,0,-,v,1823,no_info,no_info,no_info,no_info,no_info,-,certain,"('splutter', 'perspire')",0.147959184,0.6054281
front,https://hu.wiktionary.org/wiki/front#Magyar,https://en.wiktionary.org/wiki/front#Hungarian,front,"front, front_line, front_lines, van",0,-,n,1746,no_info,no_info,no_info,no_info,internationalism,+,certain,"('front', 'inside')",0.079113924,0.806847572
frottír,https://hu.wiktionary.org/wiki/frottír#Magyar,https://en.wiktionary.org/wiki/frottír#Hungarian,frotːiːr,terry,0,-,n,1932,no_info,no_info,no_info,no_info,no_info,-,certain,"('terry', 'freeman')",0.25,0.683178127
frufru,https://hu.wiktionary.org/wiki/frufru#Magyar,https://en.wiktionary.org/wiki/frufru#Hungarian,frufru,"bangs, fringe, Greacian_fringe, Grecian_fringe",0,-,n,1886,IE,Germanic,German,no_info,no_info,+,uncertain,"('bangs', 'loud')",0.047368421,0.644475102
fruska,https://hu.wiktionary.org/wiki/fruska#Magyar,https://en.wiktionary.org/wiki/fruska#Hungarian,fruʃkɒ,filly,0,-,n,1803,no_info,no_info,no_info,no_info,from proper noun,-,certain,"('filly', 'colt')",0.210526316,0.749041736
früstök,https://hu.wiktionary.org/wiki/früstök#Magyar,https://en.wiktionary.org/wiki/früstök#Hungarian,fryʃtøk,"(archaic, dialectal) breakfast",0,-,n,1395,IE,Germanic,German,Bavaria,no_info,+,certain,(),0,-1
fű,https://hu.wiktionary.org/wiki/fű#Magyar,https://en.wiktionary.org/wiki/fű#Hungarian,fyː,"grass, herb, mother, shit",0,-,n,1372,Ug,no_info,no_info,no_info,no_info,-,certain,"('grass', 'grass')",0.173719376,1
fuccs,https://hu.wiktionary.org/wiki/fuccs#Magyar,https://en.wiktionary.org/wiki/fuccs#Hungarian,fut͡ʃː,phut,0,-,v,1808,IE,Germanic,German,Bavaria,no_info,+,certain,"('phut', 'adobe')",0.313953488,0.487186909
fű-fa,https://hu.wiktionary.org/wiki/fű-fa#Magyar,https://en.wiktionary.org/wiki/fű-fa#Hungarian,fyː-fɒ,grass_tree,0,-,n,1604,no_info,no_info,no_info,no_info,reduplication,-,certain,(),0,-1
fuga,https://hu.wiktionary.org/wiki/fuga#Magyar,https://en.wiktionary.org/wiki/fuga#Hungarian,fuɡɒ,interstice,0,-,n,1892,IE,Germanic,German,no_info,no_info,+,certain,(),0,-1
fúga,https://hu.wiktionary.org/wiki/fúga#Magyar,https://en.wiktionary.org/wiki/fúga#Hungarian,fuːɡɒ,fugue,0,-,n,1817,IE,Romance,Italian,mostly North-Italian,no_info,+,certain,"('fugue', 'flute')",0.332608696,0.52549386
füge,https://hu.wiktionary.org/wiki/füge#Magyar,https://en.wiktionary.org/wiki/füge#Hungarian,fyɡɛ,fig,0,-,n,1395,IE,Romance,Italian,mostly North-Italian,no_info,+,certain,"('fig', 'fig')",0.557377049,1
függ,https://hu.wiktionary.org/wiki/függ#Magyar,https://en.wiktionary.org/wiki/függ#Hungarian,fyɡː,"be_dependent_on, hang, hinge",0,-,v,1300,unknown,unknown,unknown,unknown,unknown,+,certain,"('hang', 'down')",0.047774869,0.686834514
fuj,https://hu.wiktionary.org/wiki/fuj#Magyar,https://en.wiktionary.org/wiki/fuj#Hungarian,fuj,blows,0,-,r,1566,no_info,no_info,no_info,no_info,no_info,-,certain,"('blows', 'blow')",0.037790698,0.829352915
fúj,https://hu.wiktionary.org/wiki/fúj#Magyar,https://en.wiktionary.org/wiki/fúj#Hungarian,fuːj,"blow, blew, blown, bluster, huff, waft, wind, wound",0,-,v,1372,U,no_info,no_info,no_info,no_info,-,certain,"('blow', 'blow')",0.037790698,1
fukar,https://hu.wiktionary.org/wiki/fukar#Magyar,https://en.wiktionary.org/wiki/fukar#Hungarian,fukɒr,"avaricious, mean, mingy, miserly, near, niggardly, scrimp, scrimpy, shabby, skimpy, stingy, strait, tight",0,-,a,1522,no_info,no_info,no_info,no_info,from proper noun,-,certain,"('near', 'near')",0.117283951,1
fukszia,https://hu.wiktionary.org/wiki/fukszia#Magyar,https://en.wiktionary.org/wiki/fukszia#Hungarian,fuksiɒ,fuchsia,0,-,n,1857,no_info,no_info,no_info,no_info,internationalism,+,certain,"('fuchsia', 'handkerchief')",0.480182927,0.660930157
fúl,https://hu.wiktionary.org/wiki/fúl#Magyar,https://en.wiktionary.org/wiki/fúl#Hungarian,fuːl,"drown, get_suffocated",2,-,v,1416,FU,no_info,no_info,no_info,no_info,-,certain,"('drown', 'drown')",0.162337662,1
fúl,https://hu.wiktionary.org/wiki/fúl#Magyar,https://en.wiktionary.org/wiki/fúl#Hungarian,fuːl,"stab, prod, poke",1,-,v,1372,Ug,no_info,no_info,no_info,no_info,-,certain,"('stab', 'stab')",0.097133758,1
fül,https://hu.wiktionary.org/wiki/fül#Magyar,https://en.wiktionary.org/wiki/fül#Hungarian,fyl,"bail, bow, ear, flap, flappers, handle, lug, tab",0,-,n,1372,FU,no_info,no_info,no_info,no_info,-,certain,"('bow', 'bow')",0.157534247,1
fülbemászó,https://hu.wiktionary.org/wiki/fülbemászó#Magyar,https://en.wiktionary.org/wiki/fülbemászó#Hungarian,fylbɛmaːsoː,"catchy, melodious",2,-,a,1633,no_info,no_info,no_info,no_info,no_info,-,certain,"('catchy', 'song')",0.223684211,0.641002178
fülbemászó,https://hu.wiktionary.org/wiki/fülbemászó#Magyar,https://en.wiktionary.org/wiki/fülbemászó#Hungarian,fylbɛmaːsoː,earwig,1,-,a,1577,no_info,no_info,no_info,no_info,change of part of speech,-,certain,"('earwig', 'porpoise')",0.554347826,0.605275095
fülbevaló,https://hu.wiktionary.org/wiki/fülbevaló#Magyar,https://en.wiktionary.org/wiki/fülbevaló#Hungarian,fylbɛvɒloː,earring,0,-,n,1628,no_info,no_info,no_info,no_info,change of part of speech,-,certain,"('earring', 'earring')",0.209677419,1
fülemüle,https://hu.wiktionary.org/wiki/fülemüle#Magyar,https://en.wiktionary.org/wiki/fülemüle#Hungarian,fylɛmylɛ,"bulbul, nightingale",0,-,n,1395,IE,Romance,Latin,no_info,general,+,certain,"('bulbul', 'lizard')",0.232673267,0.559139132
fülke,https://hu.wiktionary.org/wiki/fülke#Magyar,https://en.wiktionary.org/wiki/fülke#Hungarian,fylkɛ,"bay, booth, box, chamber, chase, closet, compartment, niche, partition, recess, subdivision, traverse",0,-,n,1649,no_info,no_info,no_info,no_info,derivative,-,certain,"('bay', 'bay')",0.344339623,1
fullajtár,https://hu.wiktionary.org/wiki/fullajtár#Magyar,https://en.wiktionary.org/wiki/fullajtár#Hungarian,fulːɒjtaːr,gofer,0,-,n,1481,IE,Germanic,German,Bavaria,no_info,+,certain,"('gofer', 'awl')",0.278688525,0.480922759
fullánk,https://hu.wiktionary.org/wiki/fullánk#Magyar,https://en.wiktionary.org/wiki/fullánk#Hungarian,fulːaːnk,sting,0,-,n,1430,no_info,no_info,no_info,no_info,derivative,-,certain,"('sting', 'throat')",0.129699248,0.563526452
fullánk,https://hu.wiktionary.org/wiki/fullánk#Magyar,https://en.wiktionary.org/wiki/fullánk#Hungarian,fulːaːnk,sting,0,-,n,1430,no_info,no_info,no_info,no_info,derivative,-,certain,"('sting', 'throat')",0.129699248,0.563526452
füllent,https://hu.wiktionary.org/wiki/füllent#Magyar,https://en.wiktionary.org/wiki/füllent#Hungarian,fylːɛnt,"fib, tell_stories",0,-,v,1611,no_info,no_info,no_info,no_info,derivative,-,certain,"('fib', 'yawn')",0.119047619,0.587525547
fundál,https://hu.wiktionary.org/wiki/fundál#Magyar,https://en.wiktionary.org/wiki/fundál#Hungarian,fundaːl,diffused,0,-,n,1372,IE,Romance,Latin,no_info,general,+,certain,"('diffused', 'embers')",0.247933884,0.393692672
funkció,https://hu.wiktionary.org/wiki/funkció#Magyar,https://en.wiktionary.org/wiki/funkció#Hungarian,funkt͡sioː,function,0,-,n,1586,IE,Romance,Latin,no_info,general,+,certain,"('function', 'certain')",0.32537961,0.704668164
funkcionál,https://hu.wiktionary.org/wiki/funkcionál#Magyar,https://en.wiktionary.org/wiki/funkcionál#Hungarian,funkt͡sionaːl,function,0,-,v,1872,no_info,no_info,no_info,no_info,internationalism,+,certain,"('function', 'certain')",0.32537961,0.704668164
fúr,https://hu.wiktionary.org/wiki/fúr#Magyar,https://en.wiktionary.org/wiki/fúr#Hungarian,fuːr,"bad-mouth, bore, bur, burr, drill, hole",0,-,v,1372,no_info,no_info,no_info,no_info,contempted origin,+,certain,"('bore', 'bore')",0.146341463,1
furcsa,https://hu.wiktionary.org/wiki/furcsa#Magyar,https://en.wiktionary.org/wiki/furcsa#Hungarian,furt͡ʃɒ,"bizarre, bonkers, cockeyed, comical, curious, dorky, dutch, eccentric, extraordinary, fanciful, fantastic, freakish, freaky, funny, grotesque, kooky, odd, oddish, outlandish, peculiar, quaint, queer, quizzical, rum, singular, strange, unusual, way-out, wayout, weird, whimsical, woozy",0,-,a,1575,no_info,no_info,no_info,no_info,derivative,-,certain,"('unusual', 'similar')",0.174363057,0.86973536
fürdik,https://hu.wiktionary.org/wiki/fürdik#Magyar,https://en.wiktionary.org/wiki/fürdik#Hungarian,fyrdik,"bathe, go_for_a_swim, have_a_swim, swim, swam, swum, take_a_bath, take_a_swim",0,-,v,1389,no_info,no_info,no_info,no_info,derivative,-,certain,"('swim', 'swim')",0.103346457,1
fűrész,https://hu.wiktionary.org/wiki/fűrész#Magyar,https://en.wiktionary.org/wiki/fűrész#Hungarian,fyːreːs,saw,0,-,n,1456,unknown,unknown,unknown,unknown,unknown,+,certain,"('saw', 'saw')",0.422619048,1
furfang,https://hu.wiktionary.org/wiki/furfang#Magyar,https://en.wiktionary.org/wiki/furfang#Hungarian,furfɒnɡ,"art, astuteness, cod",0,-,n,1565,IE,Romance,Italian,mostly North-Italian,no_info,+,certain,"('art', 'music')",0.580357143,0.730720997
fúr-farag,https://hu.wiktionary.org/wiki/fúr-farag#Magyar,https://en.wiktionary.org/wiki/fúr-farag#Hungarian,fuːr-fɒrɒɡ,whittle,0,-,a,1668,no_info,no_info,no_info,no_info,reduplication,-,certain,"('whittle', 'plow')",0.261501211,0.476416022
fürge,https://hu.wiktionary.org/wiki/fürge#Magyar,https://en.wiktionary.org/wiki/fürge#Hungarian,fyrɡɛ,"agile, beany, brisk, deft, fleet, limber, lively, mercurial, nifty, nimble, nippy, perky, smart, sprightly, spry, swift",0,-,a,1693,no_info,no_info,no_info,no_info,derivative,-,certain,"('deft', 'clever')",0.229440789,0.809889317
furgon,https://hu.wiktionary.org/wiki/furgon#Magyar,https://en.wiktionary.org/wiki/furgon#Hungarian,furɡon,van,0,-,n,1948,no_info,no_info,no_info,no_info,internationalism,+,certain,"('van', 'hay')",0.149253731,0.516858459
fúria,https://hu.wiktionary.org/wiki/fúria#Magyar,https://en.wiktionary.org/wiki/fúria#Hungarian,fuːriɒ,fury,0,-,n,1585,IE,Romance,Latin,no_info,general,+,certain,"('fury', 'thunder')",0.104247104,0.692652762
furikázik,https://hu.wiktionary.org/wiki/furikázik#Magyar,https://en.wiktionary.org/wiki/furikázik#Hungarian,furikaːzik,"tool, tool_about_in_a_car, tool_around_in_a_car, toot, tootle_along",0,-,v,1953,no_info,no_info,no_info,no_info,derivative,-,certain,"('tool', 'tool')",0.3515625,1
fürj,https://hu.wiktionary.org/wiki/fürj#Magyar,https://en.wiktionary.org/wiki/fürj#Hungarian,fyrj,quail,0,-,n,1395,no_info,no_info,no_info,no_info,onomatopoeia,-,uncertain,"('quail', 'quail')",0.1484375,1
fürkész,https://hu.wiktionary.org/wiki/fürkész#Magyar,https://en.wiktionary.org/wiki/fürkész#Hungarian,fyrkeːs,"have_a_nose_round, nose, nose_about, rake, scan, scour_about, search, snoop, snoop_around",0,-,n,1720,no_info,no_info,no_info,no_info,derivative,-,certain,"('rake', 'rake')",0.348684211,1
furkó,https://hu.wiktionary.org/wiki/furkó#Magyar,https://en.wiktionary.org/wiki/furkó#Hungarian,furkoː,shit-kicker,0,-,n,1514,IE,Romance,Latin,no_info,general,+,uncertain,(),0,-1
furmányos,https://hu.wiktionary.org/wiki/furmányos#Magyar,https://en.wiktionary.org/wiki/furmányos#Hungarian,furmaːɲoʃ,a_sleek,0,-,a,1635,no_info,no_info,no_info,no_info,derivative,-,certain,(),0,-1
furmint,https://hu.wiktionary.org/wiki/furmint#Magyar,https://en.wiktionary.org/wiki/furmint#Hungarian,furmint,furmint,0,-,n,1623,IE,Romance,Italian,mostly North-Italian,no_info,+,certain,"('furmint', 'earwax')",0.077922078,0.594624221
furnéroz,https://hu.wiktionary.org/wiki/furnéroz#Magyar,https://en.wiktionary.org/wiki/furnéroz#Hungarian,furneːroz,veneer,0,-,r,1809,IE,Germanic,German,no_info,no_info,+,certain,"('veneer', 'brick')",0.664473684,0.576978385
füröszt,https://hu.wiktionary.org/wiki/füröszt#Magyar,https://en.wiktionary.org/wiki/füröszt#Hungarian,fyrøst,bathe,0,-,n,1300,no_info,no_info,no_info,no_info,derivative,-,certain,"('bathe', 'bathe')",0.115384615,0.99999994
fürt,https://hu.wiktionary.org/wiki/fürt#Magyar,https://en.wiktionary.org/wiki/fürt#Hungarian,fyrt,"bunch, cluster, curl, tress",0,-,n,1416,FU,no_info,no_info,no_info,no_info,-,uncertain,"('bunch', 'bunch')",0.140167364,1
furulya,https://hu.wiktionary.org/wiki/furulya#Magyar,https://en.wiktionary.org/wiki/furulya#Hungarian,furujɒ,flute,0,-,a,1643,IE,Romance,Romanian,no_info,no_info,+,certain,"('flute', 'flute')",0.332608696,1
furunkulus,https://hu.wiktionary.org/wiki/furunkulus#Magyar,https://en.wiktionary.org/wiki/furunkulus#Hungarian,furunkuluʃ,"anthrax, anthraces, boil, ""jobs_comforter""",0,-,a,1865,IE,Romance,Latin,no_info,general,+,certain,"('boil', 'boil')",0.175585284,1
fuser,https://hu.wiktionary.org/wiki/fuser#Magyar,https://en.wiktionary.org/wiki/fuser#Hungarian,fuʃɛr,"gimp, lunk, lunkhead, scamper, slob, slubberer, tinker",0,-,a,1564,IE,Germanic,German,Middle-German,no_info,+,certain,"('slob', 'lazy')",0.235207101,0.660207212
füst,https://hu.wiktionary.org/wiki/füst#Magyar,https://en.wiktionary.org/wiki/füst#Hungarian,fyʃt,"fume, reek, smoke",0,-,n,1240,Ug,no_info,no_info,no_info,no_info,-,certain,"('smoke', 'smoke')",0.199186992,1
fuszekli,https://hu.wiktionary.org/wiki/fuszekli#Magyar,https://en.wiktionary.org/wiki/fuszekli#Hungarian,fusɛkli,fuszekli,0,-,n,1788,IE,Germanic,German,Bavaria,no_info,+,certain,(),0,-1
fűszer,https://hu.wiktionary.org/wiki/fűszer#Magyar,https://en.wiktionary.org/wiki/fűszer#Hungarian,fyːsɛr,"condiment, herb, relish, sauce, spice",0,-,n,1554,no_info,no_info,no_info,no_info,no_info,-,certain,"('sauce', 'soup')",0.530809859,0.797100663
fut,https://hu.wiktionary.org/wiki/fut#Magyar,https://en.wiktionary.org/wiki/fut#Hungarian,fut,"course, fly, flew, flown, race, run_for, run, ran, run",0,-,v,1300,U,no_info,no_info,no_info,no_info,-,certain,"('fly', 'fly')",0.131140716,1
fűt,https://hu.wiktionary.org/wiki/fűt#Magyar,https://en.wiktionary.org/wiki/fűt#Hungarian,fyːt,"fire, fire_up, heat, stoke, warm",0,-,v,1416,no_info,no_info,no_info,no_info,derivative,-,certain,"('fire', 'fire')",0.035457888,1.000000119
futball,https://hu.wiktionary.org/wiki/futball#Magyar,https://en.wiktionary.org/wiki/futball#Hungarian,futbɒlː,soccer,0,-,n,1869,no_info,no_info,no_info,no_info,no_info,-,certain,"('soccer', 'club')",0.369020501,0.825609624
futballista,https://hu.wiktionary.org/wiki/futballista#Magyar,https://en.wiktionary.org/wiki/futballista#Hungarian,futbɒlːiʃtɒ,"footballer, kicker",0,-,n,1906,no_info,no_info,no_info,no_info,no_info,-,certain,"('footballer', 'born')",0.174712644,0.710070252
futrinka,https://hu.wiktionary.org/wiki/futrinka#Magyar,https://en.wiktionary.org/wiki/futrinka#Hungarian,futrinkɒ,beetle,0,-,n,1800,no_info,no_info,no_info,no_info,no_info,-,certain,"('beetle', 'squirrel')",0.230263158,0.708408296
futurizmus,https://hu.wiktionary.org/wiki/futurizmus#Magyar,https://en.wiktionary.org/wiki/futurizmus#Hungarian,futurizmuʃ,futurism,0,-,n,1910,no_info,no_info,no_info,no_info,internationalism,+,certain,"('futurism', 'imitate')",0.226744186,0.346411556
fütykös,https://hu.wiktionary.org/wiki/fütykös#Magyar,https://en.wiktionary.org/wiki/fütykös#Hungarian,fyckøʃ,"cudgel, dick",0,-,v,1792,no_info,no_info,no_info,no_info,no_info,-,certain,"('dick', 'bill')",0.63028169,0.609966457
fütyül,https://hu.wiktionary.org/wiki/fütyül#Magyar,https://en.wiktionary.org/wiki/fütyül#Hungarian,fycyl,"flout, hiss, ping, scream, sough, whistle, whiz, whizz, wuther, zip",0,-,v,1621,no_info,no_info,no_info,no_info,no_info,-,certain,"('whistle', 'whistle')",0.142105263,1
fuvar,https://hu.wiktionary.org/wiki/fuvar#Magyar,https://en.wiktionary.org/wiki/fuvar#Hungarian,fuvɒr,carriage,0,-,n,1585,IE,Germanic,German,Bavaria,no_info,+,certain,"('carriage', 'wagon')",0.66792202,0.74187541
fuvola,https://hu.wiktionary.org/wiki/fuvola#Magyar,https://en.wiktionary.org/wiki/fuvola#Hungarian,fuvolɒ,flute,0,-,n,1787,no_info,no_info,no_info,no_info,neologism,-,certain,"('flute', 'flute')",0.332608696,1
fűz,https://hu.wiktionary.org/wiki/fűz#Magyar,https://en.wiktionary.org/wiki/fűz#Hungarian,fyːz,"willow, sallow",2,-,v,1251,FU,no_info,no_info,no_info,no_info,-,uncertain,"('willow', 'pine')",0.414746544,0.754245996
fűz,https://hu.wiktionary.org/wiki/fűz#Magyar,https://en.wiktionary.org/wiki/fűz#Hungarian,fyːz,"sallow, stitch",1,-,v,1518,FU,no_info,no_info,no_info,no_info,-,certain,"('sallow', 'wrinkled')",0.075268817,0.734397531
