L2_orth,L2_link,L2_latin,L2_ipa,L2_en,L2_pos,L2_in
𐌲𐌰𐌱𐌰𐌿𐍂,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌰𐌿𐍂#Gothic,gabaur,ɡaβɔr,tribute,n,ɡaβɔr
𐌲𐌰𐌱𐌰𐌿𐍂𐌲𐌾𐌰,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌰𐌿𐍂𐌲𐌾𐌰#Gothic,gabaurgja,ɡaβɔrɡja,fellow_citizen,n,ɡaβɔrɡja
𐌲𐌰𐌱𐌰𐌿𐍂𐌸𐌹𐍅𐌰𐌿𐍂𐌳,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌰𐌿𐍂𐌸𐌹𐍅𐌰𐌿𐍂𐌳#Gothic,gabaurþiwaurd,ɡaβɔrθɪwɔrd,genealogy,n,ɡaβɔrθɪwɔrd
𐌲𐌰𐌱𐌰𐌿𐍂𐌸𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌰𐌿𐍂𐌸𐍃#Gothic,gabaurþs,ɡaβɔrθs,birth,n,ɡaβɔrθs
𐌲𐌰𐌱𐌰𐌿𐍂𐌾𐌰𐌱𐌰,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌰𐌿𐍂𐌾𐌰𐌱𐌰#Gothic,gabaurjaba,ɡaβɔrjaβa,"gladly, happily",r,ɡaβɔrjaβa
𐌲𐌰𐌱𐌰𐌿𐍂𐌾𐍉𐌸𐌿𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌰𐌿𐍂𐌾𐍉𐌸𐌿𐍃#Gothic,gabaurjōþus,ɡaβɔrjoθus,pleasure,n,ɡaβɔrjoθus
𐌲𐌰𐌱𐌰𐍄𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌰𐍄𐌽𐌰𐌽#Gothic,gabatnan,ɡaβatnan,"profit, benefit",v,ɡaβatn
𐌲𐌰𐌱𐌴𐌹,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌴𐌹#Gothic,gabēi,ɡaβeɪ,"wealth, riches",n,ɡaβeɪ
𐌲𐌰𐌱𐌴𐌹𐌲𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌴𐌹𐌲𐍃#Gothic,gabēigs,ɡaβeɪɣs,Alternative_form_of_𐌲𐌰𐌱𐌹𐌲𐍃,a,ɡaβeɪɣs
𐌲𐌰𐌱𐌴𐌹𐌳𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌴𐌹𐌳𐌰𐌽#Gothic,gabēidan,ɡaβeɪðan,endure,v,ɡaβeɪð
𐌲𐌰𐌱𐌴𐌹𐍃𐍄𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌴𐌹𐍃𐍄𐌾𐌰𐌽#Gothic,gabēistjan,ɡaβeɪstjan,leaven,v,ɡaβeɪstj
𐌲𐌰𐌱𐌹𐌲𐌰𐌱𐌰,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌹𐌲𐌰𐌱𐌰#Gothic,gabigaba,ɡaβɪɣaβa,richly,r,ɡaβɪɣaβa
𐌲𐌰𐌱𐌹𐌲𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌹𐌲𐌽𐌰𐌽#Gothic,gabignan,ɡaβɪɣnan,be_rich,v,ɡaβɪɣn
𐌲𐌰𐌱𐌹𐌲𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌹𐌲𐌾𐌰𐌽#Gothic,gabigjan,ɡaβɪɣjan,make_rich,v,ɡaβɪɣj
𐌲𐌰𐌱𐌹𐌲𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌹𐌲𐍃#Gothic,gabigs,ɡaβɪɣs,"rich, wealthy",a,ɡaβɪɣs
𐌲𐌰𐌱𐌹𐌳𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌹𐌳𐌾𐌰𐌽#Gothic,gabidjan,ɡaβɪðjan,pray,v,ɡaβɪðj
𐌲𐌰𐌱𐌹𐌽𐌳𐌰,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌹𐌽𐌳𐌰#Gothic,gabinda,ɡaβɪnda,"bond, connection",n,ɡaβɪnda
𐌲𐌰𐌱𐌹𐌽𐌳𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌹𐌽𐌳𐌰𐌽#Gothic,gabindan,ɡaβɪndan,"bind, bind_fast",v,ɡaβɪnd
𐌲𐌰𐌱𐌹𐌽𐌳𐌹,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌹𐌽𐌳𐌹#Gothic,gabindi,ɡaβɪndɪ,", bond, tie",n,ɡaβɪndɪ
𐌲𐌰𐌱𐌹𐌿𐌲𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌹𐌿𐌲𐌰𐌽#Gothic,gabiugan,ɡaβɪuɣan,bend,v,ɡaβɪuɣ
𐌲𐌰𐌱𐌻𐌰𐌿𐌸𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌻𐌰𐌿𐌸𐌾𐌰𐌽#Gothic,gablauþjan,ɡaβlɔθjan,triumph_over,v,ɡaβlɔθj
𐌲𐌰𐌱𐌻𐌴𐌹𐌸𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌻𐌴𐌹𐌸𐌴𐌹𐌽𐍃#Gothic,gablēiþēins,ɡaβleɪθeɪns,"compassion, pity, mercy",n,ɡaβleɪθeɪns
𐌲𐌰𐌱𐌻𐌴𐌹𐌸𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌻𐌴𐌹𐌸𐌾𐌰𐌽#Gothic,gablēiþjan,ɡaβleɪθjan,have_compassion_on,v,ɡaβleɪθj
𐌲𐌰𐌱𐌻𐌹𐌽𐌳𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌻𐌹𐌽𐌳𐌾𐌰𐌽#Gothic,gablindjan,ɡaβlɪndjan,blind,v,ɡaβlɪndj
𐌲𐌰𐌱𐌿𐌽𐌳𐌹,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐌿𐌽𐌳𐌹#Gothic,gabundi,ɡaβundɪ,", bond, tie",n,ɡaβundɪ
𐌲𐌰𐌱𐍂𐌰𐌽𐌽𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐍂𐌰𐌽𐌽𐌾𐌰𐌽#Gothic,gabrannjan,ɡaβrann̥jan,burn_up,v,ɡaβrann̥j
𐌲𐌰𐌱𐍂𐌹𐌴𐌻,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐍂𐌹𐌴𐌻#Gothic,gabriēl,ɡaβrɪel,"Gabriel, , Biblical_character",n,ɡaβrɪel
𐌲𐌰𐌱𐍂𐌹𐌺𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐍂𐌹𐌺𐌰𐌽#Gothic,gabrikan,ɡaβrɪkan,break,v,ɡaβrɪk
𐌲𐌰𐌱𐍂𐌿𐌺𐌰,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐍂𐌿𐌺𐌰#Gothic,gabruka,ɡaβruka,", fragment, piece",n,ɡaβruka
𐌲𐌰𐌱𐍉𐍄𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌱𐍉𐍄𐌾𐌰𐌽#Gothic,gabōtjan,ɡaβotjan,"restore, improve",v,ɡaβotj
𐌲𐌰𐌲𐌰𐌲𐌲𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌲𐌰𐌲𐌲𐌰𐌽#Gothic,gagaggan,ɡaɣaŋɡan,gather_together,v,ɡaɣaŋɡ
𐌲𐌰𐌲𐌰𐌷𐌰𐍆𐍄𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌲𐌰𐌷𐌰𐍆𐍄𐌾𐌰𐌽#Gothic,gagahaftjan,ɡaɣahaɸtjan,"join, compact",v,ɡaɣahaɸtj
𐌲𐌰𐌲𐌰𐌻𐌴𐌹𐌺𐍉𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌲𐌰𐌻𐌴𐌹𐌺𐍉𐌽#Gothic,gagalēikōn,ɡaɣaleɪkon,transform,v,ɡaɣaleɪkon
𐌲𐌰𐌲𐌰𐌼𐌰𐌹𐌽𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌲𐌰𐌼𐌰𐌹𐌽𐌾𐌰𐌽#Gothic,gagamainjan,ɡaɣamɛnjan,defile,v,ɡaɣamɛnj
𐌲𐌰𐌲𐌰𐍄𐌹𐌻𐍉𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌲𐌰𐍄𐌹𐌻𐍉𐌽#Gothic,gagatilōn,ɡaɣatɪlon,"join_together, connect",v,ɡaɣatɪlon
𐌲𐌰𐌲𐌰𐍅𐌰𐌹𐍂𐌸𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌲𐌰𐍅𐌰𐌹𐍂𐌸𐌽𐌰𐌽#Gothic,gagawairþnan,ɡaɣawɛrθnan,be_reconciled,v,ɡaɣawɛrθn
𐌲𐌰𐌲𐌰𐍅𐌰𐌹𐍂𐌸𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌲𐌰𐍅𐌰𐌹𐍂𐌸𐌾𐌰𐌽#Gothic,gagawairþjan,ɡaɣawɛrθjan,reconcile,v,ɡaɣawɛrθj
𐌲𐌰𐌲𐌲𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌲𐌲𐌰𐌽#Gothic,gaggan,ɡaŋɡan,go,v,ɡaŋɡ
𐌲𐌰𐌲𐌲𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌲𐌲𐌾𐌰𐌽#Gothic,gaggjan,ɡaŋɡjan,"travel, journey",v,ɡaŋɡj
𐌲𐌰𐌲𐌴𐌹𐌲𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌲𐌴𐌹𐌲𐌰𐌽#Gothic,gagēigan,ɡaɣeɪɣan,gain,v,ɡaɣeɪɣ
𐌲𐌰𐌲𐌿𐌳𐌰𐌱𐌰,https://en.wiktionary.org/wiki/𐌲𐌰𐌲𐌿𐌳𐌰𐌱𐌰#Gothic,gagudaba,ɡaɣuðaβa,"godly, in_, godly_way",r,ɡaɣuðaβa
𐌲𐌰𐌲𐌿𐌳𐌴𐌹,https://en.wiktionary.org/wiki/𐌲𐌰𐌲𐌿𐌳𐌴𐌹#Gothic,gagudēi,ɡaɣuðeɪ,godliness,n,ɡaɣuðeɪ
𐌲𐌰𐌲𐌿𐌳𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌲𐌿𐌳𐍃#Gothic,gaguds,ɡaɣuðs,"godly, honorable",a,ɡaɣuðs
𐌲𐌰𐌲𐍂𐌴𐍆𐍄𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌲𐍂𐌴𐍆𐍄𐍃#Gothic,gagrēfts,ɡaɣreɸts,decree,n,ɡaɣreɸts
𐌲𐌰𐌳𐌰𐌱𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐌰𐌱𐌰𐌽#Gothic,gadaban,ɡaðaβan,happen,v,ɡaðaβ
𐌲𐌰𐌳𐌰𐌹𐌻𐌰,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐌰𐌹𐌻𐌰#Gothic,gadaila,ɡaðɛla,partner,n,ɡaðɛla
𐌲𐌰𐌳𐌰𐌹𐌻𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐌰𐌹𐌻𐌾𐌰𐌽#Gothic,gadailjan,ɡaðɛljan,distribute,v,ɡaðɛlj
𐌲𐌰𐌳𐌰𐌿𐌱𐌹𐌳𐌰,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐌰𐌿𐌱𐌹𐌳𐌰#Gothic,gadaubida,ɡaðɔβɪða,first/third_person_singular_past_active_indicative_of_𐌲𐌰𐌳𐌰𐌿𐌱𐌾𐌰𐌽,v,ɡaðɔβɪða
𐌲𐌰𐌳𐌰𐌿𐌱𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐌰𐌿𐌱𐌾𐌰𐌽#Gothic,gadaubjan,ɡaðɔβjan,"harden, make_callous",v,ɡaðɔβj
𐌲𐌰𐌳𐌰𐌿𐌸𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐌰𐌿𐌸𐌽𐌰𐌽#Gothic,gadauþnan,ɡaðɔθnan,die,v,ɡaðɔθn
𐌲𐌰𐌳𐌰𐌿𐌸𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐌰𐌿𐌸𐌾𐌰𐌽#Gothic,gadauþjan,ɡaðɔθjan,"kill, put_death",v,ɡaðɔθj
𐌲𐌰𐌳𐌰𐌿𐌺𐌰𐌽𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐌰𐌿𐌺𐌰𐌽𐍃#Gothic,gadaukans,ɡaðɔkans,household,n,ɡaðɔkans
𐌲𐌰𐌳𐌰𐌿𐍂𐍃𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐌰𐌿𐍂𐍃𐌰𐌽#Gothic,gadaursan,ɡaðɔrsan,dare,v,ɡaðɔrs
𐌲𐌰𐌳𐌴𐌸𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐌴𐌸𐍃#Gothic,gadēþs,ɡaðeθs,", deed, aact_of_making, rendering",n,ɡaðeθs
𐌲𐌰𐌳𐌹𐌲𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐌹𐌲𐌰𐌽#Gothic,gadigan,ɡaðɪɣan,"form, shape, mold",v,ɡaðɪɣ
𐌲𐌰𐌳𐌹𐌲𐌹𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐌹𐌲𐌹𐍃#Gothic,gadigis,ɡaðɪɣɪs,", thing_formed",n,ɡaðɪɣɪs
𐌲𐌰𐌳𐌹𐌻𐌹𐌲𐌲𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐌹𐌻𐌹𐌲𐌲𐍃#Gothic,gadiliggs,ɡaðɪlɪŋɡs,relative,n,ɡaðɪlɪŋɡs
𐌲𐌰𐌳𐌹𐌿𐍀𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐌹𐌿𐍀𐌾𐌰𐌽#Gothic,gadiupjan,ɡaðɪupjan,go_deep,v,ɡaðɪupj
𐌲𐌰𐌳𐍂𐌰𐌱𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐍂𐌰𐌱𐌰𐌽#Gothic,gadraban,ɡaðraβan,"hew_out, chisel",v,ɡaðraβ
𐌲𐌰𐌳𐍂𐌰𐌲𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐍂𐌰𐌲𐌰𐌽#Gothic,gadragan,ɡaðraɣan,"amass, accumulate, pile_up",v,ɡaðraɣ
𐌲𐌰𐌳𐍂𐌰𐌲𐌺𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐍂𐌰𐌲𐌺𐌾𐌰𐌽#Gothic,gadragkjan,ɡaðraŋkjan,give_drink,v,ɡaðraŋkj
𐌲𐌰𐌳𐍂𐌰𐌿𐌷𐍄𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐍂𐌰𐌿𐌷𐍄𐍃#Gothic,gadrauhts,ɡaðrɔhts,"soldier, warrior",n,ɡaðrɔhts
𐌲𐌰𐌳𐍂𐌰𐌿𐍃𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐍂𐌰𐌿𐍃𐌾𐌰𐌽#Gothic,gadrausjan,ɡaðrɔsjan,cast_down,v,ɡaðrɔsj
𐌲𐌰𐌳𐍂𐌹𐌲𐌺𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐍂𐌹𐌲𐌺𐌰𐌽#Gothic,gadrigkan,ɡaðrɪŋkan,drink,v,ɡaðrɪŋk
𐌲𐌰𐌳𐍂𐌹𐌿𐍃𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐍂𐌹𐌿𐍃𐌰𐌽#Gothic,gadriusan,ɡaðrɪusan,fall_down,v,ɡaðrɪus
𐌲𐌰𐌳𐍂𐍉𐌱𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐍂𐍉𐌱𐌽𐌰𐌽#Gothic,gadrōbnan,ɡaðroβnan,be_troubled,v,ɡaðroβn
𐌲𐌰𐌳𐍉𐌼𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐍉𐌼𐌾𐌰𐌽#Gothic,gadōmjan,ɡaðomjan,"deem, consider, reckon",v,ɡaðomj
𐌲𐌰𐌳𐍉𐍆,https://en.wiktionary.org/wiki/𐌲𐌰𐌳𐍉𐍆#Gothic,gadōf,ɡaðoɸ,"proper, becoming, seemly",a,ɡaðoɸ
𐌲𐌰𐌵𐌹𐌸𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌵𐌹𐌸𐌰𐌽#Gothic,gaqiþan,ɡakʷɪθan,"concur, agree_with_one_another",v,ɡakʷɪθ
𐌲𐌰𐌵𐌹𐌼𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌵𐌹𐌼𐌰𐌽#Gothic,gaqiman,ɡakʷɪman,"come_together, congregate, meet",v,ɡakʷɪm
𐌲𐌰𐌵𐌹𐌿𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌵𐌹𐌿𐌽𐌰𐌽#Gothic,gaqiunan,ɡakʷɪunan,come_life,v,ɡakʷɪun
𐌲𐌰𐌵𐌹𐌿𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌵𐌹𐌿𐌾𐌰𐌽#Gothic,gaqiujan,ɡakʷɪujan,"quicken, give_life",v,ɡakʷɪuj
𐌲𐌰𐌵𐌹𐍃𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌵𐌹𐍃𐍃#Gothic,gaqiss,ɡakʷɪss,concurrence,n,ɡakʷɪss
𐌲𐌰𐌵𐌿𐌼𐌸𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌵𐌿𐌼𐌸𐍃#Gothic,gaqumþs,ɡakʷumθs,"gathering, congregation, assembly",n,ɡakʷumθs
𐌲𐌰𐌶𐌰𐌿𐍆𐍅𐌻𐌰𐌺𐌹𐍉,https://en.wiktionary.org/wiki/𐌲𐌰𐌶𐌰𐌿𐍆𐍅𐌻𐌰𐌺𐌹𐍉#Gothic,gazaufwlakiō,ɡazɔɸwlakɪo,treasury,n,ɡazɔɸwlakɪo
𐌲𐌰𐌶𐌳𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌶𐌳𐍃#Gothic,gazds,ɡazds,", sharp, pointed_object, possibly_, sting, goad_or_spike",n,ɡazds
𐌲𐌰𐌷𐌰𐌱𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌰𐌱𐌰𐌽#Gothic,gahaban,ɡahaβan,"hold, retain",v,ɡahaβ
𐌲𐌰𐌷𐌰𐌷𐌾𐍉,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌰𐌷𐌾𐍉#Gothic,gahahjō,ɡahahjo,coherently,r,ɡahahjo
𐌲𐌰𐌷𐌰𐌹𐌻𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌰𐌹𐌻𐌽𐌰𐌽#Gothic,gahailnan,ɡahɛlnan,"become_healthy_again, be_healed",v,ɡahɛln
𐌲𐌰𐌷𐌰𐌹𐌻𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌰𐌹𐌻𐌾𐌰𐌽#Gothic,gahailjan,ɡahɛljan,heal_another,v,ɡahɛlj
𐌲𐌰𐌷𐌰𐌹𐌻𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌰𐌹𐌻𐍃#Gothic,gahails,ɡahɛls,whole,a,ɡahɛls
𐌲𐌰𐌷𐌰𐌹𐍄,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌰𐌹𐍄#Gothic,gahait,ɡahɛt,"promise, pledge",n,ɡahɛt
𐌲𐌰𐌷𐌰𐌹𐍄𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌰𐌹𐍄𐌰𐌽#Gothic,gahaitan,ɡahɛtan,"convoke, call_together",v,ɡahɛt
𐌲𐌰𐌷𐌰𐌼𐍉𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌰𐌼𐍉𐌽#Gothic,gahamōn,ɡahamon,"put_on, clothe",v,ɡahamon
𐌲𐌰𐌷𐌰𐌿𐌽𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌰𐌿𐌽𐌾𐌰𐌽#Gothic,gahaunjan,ɡahɔnjan,"humble, abase",v,ɡahɔnj
𐌲𐌰𐌷𐌰𐌿𐍃𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌰𐌿𐍃𐌴𐌹𐌽𐍃#Gothic,gahausēins,ɡahɔseɪns,hearing,n,ɡahɔseɪns
𐌲𐌰𐌷𐌰𐌿𐍃𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌰𐌿𐍃𐌾𐌰𐌽#Gothic,gahausjan,ɡahɔsjan,hear,v,ɡahɔsj
𐌲𐌰𐌷𐌰𐍂𐌳𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌰𐍂𐌳𐌾𐌰𐌽#Gothic,gahardjan,ɡahardjan,harden,v,ɡahardj
𐌲𐌰𐌷𐌰𐍆𐍄𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌰𐍆𐍄𐌽𐌰𐌽#Gothic,gahaftnan,ɡahaɸtnan,"cleave_to, stick_to",v,ɡahaɸtn
𐌲𐌰𐌷𐌰𐍆𐍄𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌰𐍆𐍄𐌾𐌰𐌽#Gothic,gahaftjan,ɡahaɸtjan,join,v,ɡahaɸtj
𐌲𐌰𐌷𐌹𐌻𐍀𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌹𐌻𐍀𐌰𐌽#Gothic,gahilpan,ɡahɪlpan,help,v,ɡahɪlp
𐌲𐌰𐌷𐌻𐌰𐌹𐌱𐌰,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌻𐌰𐌹𐌱𐌰#Gothic,gahlaiba,ɡahlɛβa,companion,n,ɡahlɛβa
𐌲𐌰𐌷𐌽𐌰𐌹𐍅𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌽𐌰𐌹𐍅𐌾𐌰𐌽#Gothic,gahnaiwjan,ɡahnɛwjan,"lower, abase, humiliate",v,ɡahnɛwj
𐌲𐌰𐌷𐌽𐌹𐍀𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌽𐌹𐍀𐌽𐌰𐌽#Gothic,gahnipnan,ɡahnɪpnan,be_sad,v,ɡahnɪpn
𐌲𐌰𐌷𐌿𐌲𐌳𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌿𐌲𐌳𐍃#Gothic,gahugds,ɡahuɣds,"mind, reason, disposition",n,ɡahuɣds
𐌲𐌰𐌷𐌿𐌻𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐌿𐌻𐌾𐌰𐌽#Gothic,gahuljan,ɡahuljan,"cover, wrap, veil",v,ɡahulj
𐌲𐌰𐌷𐍂𐌰𐌹𐌽𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐍂𐌰𐌹𐌽𐌴𐌹𐌽𐍃#Gothic,gahrainēins,ɡahrɛneɪns,cleansing,n,ɡahrɛneɪns
𐌲𐌰𐌷𐍂𐌰𐌹𐌽𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐍂𐌰𐌹𐌽𐌾𐌰𐌽#Gothic,gahrainjan,ɡahrɛnjan,"cleanse, purify",v,ɡahrɛnj
𐌲𐌰𐌷𐍉𐌱𐌰𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐍉𐌱𐌰𐌹𐌽𐍃#Gothic,gahōbains,ɡahoβɛns,temperance,n,ɡahoβɛns
𐌲𐌰𐌷𐍉𐍂𐌹𐌽𐍉𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌷𐍉𐍂𐌹𐌽𐍉𐌽#Gothic,gahōrinōn,ɡahorɪnon,commit_adultery,v,ɡahorɪnon
𐌲𐌰𐌸𐌰𐌷𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌸𐌰𐌷𐌰𐌽#Gothic,gaþahan,ɡaθahan,be_completely_silent,v,ɡaθah
𐌲𐌰𐌸𐌰𐌹𐍂𐍃𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌸𐌰𐌹𐍂𐍃𐌰𐌽#Gothic,gaþairsan,ɡaθɛrsan,"wither, dry_up",v,ɡaθɛrs
𐌲𐌰𐌸𐌹𐌿𐌸𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌸𐌹𐌿𐌸𐌾𐌰𐌽#Gothic,gaþiuþjan,ɡaθɪuθjan,bless,v,ɡaθɪuθj
𐌲𐌰𐌸𐌹𐍅𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌸𐌹𐍅𐌰𐌽#Gothic,gaþiwan,ɡaθɪwan,"subjugate, enthrall",v,ɡaθɪw
𐌲𐌰𐌸𐌻𐌰𐌹𐌷𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌸𐌻𐌰𐌹𐌷𐌰𐌽#Gothic,gaþlaihan,ɡaθlɛhan,"comfort, console",v,ɡaθlɛh
𐌲𐌰𐌸𐌻𐌰𐌹𐌷𐍄𐍃,https://en.wiktionary.org/wiki/𐌲𐌰𐌸𐌻𐌰𐌹𐌷𐍄𐍃#Gothic,gaþlaihts,ɡaθlɛhts,"comfort, consolation",n,ɡaθlɛhts
𐌲𐌰𐌸𐌻𐌹𐌿𐌷𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌸𐌻𐌹𐌿𐌷𐌰𐌽#Gothic,gaþliuhan,ɡaθlɪuhan,flee,v,ɡaθlɪuh
𐌲𐌰𐌸𐌿𐌻𐌰𐌽,https://en.wiktionary.org/wiki/𐌲𐌰𐌸𐌿𐌻𐌰𐌽#Gothic,gaþulan,ɡaθulan,"suffer, endure",v,ɡaθul
𐌲𐌰𐌸𐍂𐌰𐍃𐌺,https://en.wiktionary.org/wiki/𐌲𐌰𐌸𐍂𐌰𐍃𐌺#Gothic,gaþrask,ɡaθrask,threshing_floor,n,ɡaθrask
