got_lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,got_links,got_occurences,got_certainty,got_reconstructedness,got_ipa,got_en,got_pos
andhamōnsik,V.,"entkleiden, ausziehen","divest, undress",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=21,['1'],certain,,andhamonsɪk,"divest, undress",v
andhausjan,V.,"gehorchen, erhören, erhört werden (= pers. Passiv)","listen to, hearken to, give heed to, heed (V.), obey",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=21,['9'],certain,form,andhausjan,"listen_to, hearken_to, give_heed_to, heed, obey",v
andhruskan,V.,"nachforschen, prüfen, untersuchen","investigate, question (V.), subject to the inquiring mind, apply acumen to, use >>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,['1'],certain,form,andhruskan,"investigate, question, subject_to_the_inquiring_mind, apply_acumen_to, use_",v
andhugjan,V.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,['1'],certain,,andhuɣjan,,v
andhuleins,F.,"Enthüllung, Offenbarung","uncovering, revealing, revelation",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,['8'],certain,form,andhulins,"uncovering, revealing, revelation",n
andhuliþs,"V., Adj.","enthüllt, unverhüllt","uncovered, unveiled",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,[],certain,form,andhulɪθs,"uncovered, unveiled",va
andhuljan,V.,"enthüllen, abdecken, entblößen, offenbaren","uncover, unveil, reveal (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,['13'],certain,,andhuljan,"uncover, unveil, reveal",v
andi,M.,Geist,ghost,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,[],uncertain,word,andɪ,ghost,n
andilaus,Adj.,endlos,endless,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,['2'],certain,form,andɪlaus,endless,a
andizuh,Konj.,"anders, sonst, entweder",either,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,['1'],certain,,andɪzuh,either,r
andjan,V.,"enden, endigen",end (V.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,[],uncertain,word,andjan,end,v
andjō,Adv.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,[],uncertain,word,andjo,,r
andlētan,V.,entlassen (V.),be let,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,[],certain,word,andletan,be_let,v
andlētnan,V.,"scheiden, abscheiden, entlassen werden, aufgelöst werden, sich auflösen, sich lo>>>","be released, become released, separate (V.), die",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,['1'],certain,,andletnan,"be_released, become_released, separate, die",v
andniman,V.,"annehmen, aufnehmen, genießen, empfangen, wieder empfangen, erhalten (V.)","accept (V.), take in, take to o.s., take (V.), adopt, receive, take up, have rec>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,['102'],certain,,andnɪman,"accept, take_in, take_to_os, take, adopt, receive, take_up, have_rec",v
andqiþan,V.,"„entsagen“, Abschied nehmen, entlassen (V.), zusammenkommen mit, sprechen mit, s>>>","address with salutations, greet, salute (V.), say farewell to, take (verbal) lea>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,['2'],certain,,andkwɪθan,"address_with_salutations, greet, salute, say_farewell_to, take_lea",v
andrinnan,V.,"„entgegenrennen“, streiten","dispute (V.), debate (V.), contradict, oppose, discuss",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,['2'],certain,form,andrɪnnan,"dispute, debate, contradict, oppose, discuss",v
andsaíƕan,V.,"auf etwas sehen, berücksichtigen, achtgeben, ansehen, in Betracht ziehen, beacht>>>","look to, have regard for, give attention to, pay heed to, examine, note (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,['2'],certain,form,andsɛhwan,"look_to, have_regard_for, give_attention_to, pay_heed_to, examine, note",v
andsakan,V.,"widersprechen, bekämpfen, bestreiten","controvert, gainsay, dispute (V.), speak against",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,['1'],certain,form,andsakan,"controvert, gainsay, dispute, speak_against",v
andsakans,"V., Adj.",bestritten,disputed,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,[],uncertain,word,andsakans,disputed,va
andsaljan,V.,"darbringen, opfern","pay in tribute to, offer as tribute to, sacrifice (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,['1'],certain,,andsaljan,"pay_in_tribute_to, offer_as_tribute_to, sacrifice",v
andsatjan,V.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=22,[],uncertain,word,andsatjan,,v
andsitan,V.,"scheuen, Rücksicht nehmen","be unsettled by, be upset by, lose (V.) one’s composure at, be discomfited by, a>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['4'],certain,form,andsɪtan,"be_unsettled_by, be_upset_by, lose_ones_composure_at, be_discomfited_by, a",v
andsōks,Adj.,"widerleglich, bestreitbar","controvertible, disputable",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,[],uncertain,word,andsoks,"controvertible, disputable",a
andspeiwan,V.,"entgegenspeien, ausspeien, verachten, verwerfen","spit at, expectorate against, despise",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['1'],certain,form,andspiwan,"spit_at, expectorate_against, despise",v
andstald,N.,"Darbietung, Beistand, Darreichung","support (N.), supply (N.), aid (N.), purveyance, furnishment",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['2'],certain,form,andstald,"support, supply, aid, purveyance, furnishment",n
andstaldan,V.,"versehen, darreichen","supply (V.), put at the disposal of, accomodate with, afford s.o., afford s.th.,>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['4'],certain,form,andstaldan,"supply, put_at_the_disposal_of, accomodate_with, afford_so, afford_sth, ",v
andstandan,V.,"entgegenstehen, widerstehen, widerstreiten, widerstreben","oppose, resist, stand in opposition to, withstand",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['19'],certain,,andstandan,"oppose, resist, stand_in_opposition_to, withstand",v
andstaúrran,V.,"Unwillen zeigen, widerspenstig sein (V.), anstarren, murren","stare antagonistically at, glower at, glare at, confront frowningly",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['1'],certain,form,andstɔrran,"stare_antagonistically_at, glower_at, glare_at, confront_frowningly",v
andtilōn,V.,"anhangen, sich annehmen, dienen, helfen, beistehen","accomodate o.s. to, make o.s. fit to, conform to, adapt to, adjust to, be devote>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['2'],certain,form,andtɪlon,"accomodate_os_to, make_os_fit_to, conform_to, adapt_to, adjust_to, be_devote",v
andþagkjansik,V.,"einfallen, erinnern, gedenken, sich besinnen, überlegen (V.), bedenken, sich ent>>>","bear in mind, think of, envision (V.), present to one’s mind, consider, know",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['3'],certain,form,andθaŋkjansɪk,"bear_in_mind, think_of, envision, present_to_ones_mind, consider, know",v
anduh,Präp.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,[],certain,,anduh,,r
andwaíhan,V.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,[],certain,form,andwɛhan,,v
andwaírþi,N.,"Gegenwart, Angesicht, Person, Gesicht","countenance, „face-to-face-ness“, presence, person",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['8179'],certain,form,andwɛrθɪ,"countenance, facetofaceness, presence, person",n
andwaírþis,Adv.,gegenüber,"vis-a-vis, opposite (Adj.), over, against, facing (Adj.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['1'],certain,,andwɛrθɪs,"visavis, opposite, over, against, facing",r
andwaírþō,Adv.,sofort,"for the present, momentary, at once",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['1'],certain,,andwɛrθo,"for_the_present, momentary, at_once",r
andwaírþs,Adj.,gegenwärtig,"present (Adj.), being present",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['9'],certain,,andwɛrθs,"present, being_present",a
andwasjan,V.,entkleiden,"unclothe, undress, divest",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['1'],certain,form,andwasjan,"unclothe, undress, divest",v
andwaúrdjan,V.,"widersprechen, antworten","answer (V.), answer back to, talk back to, contradict",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['1'],certain,form,andwɔrdjan,"answer, answer_back_to, talk_back_to, contradict",v
andweihan,V.,"widerstreiten, ankämpfen, entgegenkämpfen","oppose with battle, fight in opposition to",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['2'],certain,form,andwihan,"oppose_with_battle, fight_in_opposition_to",v
andwaihan,V.,"widerstreiten, ankämpfen, entgegenkämpfen","oppose with battle, fight in opposition to",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,[],certain,form,andwaɪhan,"oppose_with_battle, fight_in_opposition_to",v
anetiare,V.,zwingen,"force (V.), compel",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,[],certain,,anetɪare,"force, compel",v
annō,F.,"Sold, Kosten (F. Pl.)","pay (N.), soldier’s pay, wages",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=23,['2'],certain,form,anno,"pay, soldiers_pay, wages",n
ano,F.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,[],certain,,ano,,n
ans,M.,Balken,wooden beam,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,"['1', '3']",certain,,ans,wooden_beam,n
ans,M.,Götter (= anseis),gods (= anseis),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,['2'],certain,word,ans,gods,n
Planseis,M.,Götter (= anseis),gods (= anseis),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,[],certain,,plansis,gods,n
anses,M.,Halbgötter,demigods,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,[],certain,form,anses,demigods,n
ansteigs,Adj.,"gnädig, günstig","beneficent, gracious",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,['1'],certain,,anstiɣs,"beneficent, gracious",a
ansts,F.,"Freude, Dank, Gnade, Gunst, Gnadengabe","beneficence, graciousness, grace, joy (N.), thanks, gift (N.), favour (N.), bles>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,['6966'],certain,,ansts,"beneficence, graciousness, grace, joy, thanks, gift, favour, bles",n
ansula,M.,"kleiner Ase, kleiner Gott",little god,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,['2'],certain,form,ansula,little_god,n
ansus,M.,"Ase, Gott",god,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,['2'],certain,form,ansus,god,n
ant,M.,Riese (M.),giant (M.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,[],certain,word,ant,giant,n
anþar,"Adj., Num.","andere, zweite","other, second (Adj.), another, the other",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,['159'],certain,,anθar,"other, second, another, the_other",ar
anþarleikei,F.,Verschiedenheit,"otherness, different structure, different essence, diversity, difference",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,['2'],certain,form,anθarliki,"otherness, different_structure, different_essence, diversity, difference",n
anþarleikō,Adv.,anders,"essentially differently, otherwise, in substantively different manner",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,['21'],certain,,anθarliko,"essentially_differently, otherwise, in_substantively_different_manner",r
anþarleiks,Adj.,verschieden (Adj.) (2),"substantively different, essentially different, constituted otherwise",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,[],uncertain,word,anθarliks,"substantively_different, essentially_different, constituted_otherwise",a
anþs,Sb.,"Spitze, Ende","extremity, end (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,['1'],certain,word,anθs,"extremity, end",n
anþs,Sb.,"Geist, Seele","spirit, soul",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,['2'],certain,word,anθs,"spirit, soul",n
apaústaúlei,F.,Apostolat,"apostleship, mission, apostolate, office of an apostle",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,['2'],certain,form,apɔstɔli,"apostleship, mission, apostolate, office_of_an_apostle",n
apaústaúlus,M.,"Apostel, Bote, Abgesandter",apostle,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,['3736'],certain,,apɔstɔlus,apostle,n
apel,M.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,[],certain,,apel,,n
apls,M.,Apfel,apple,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,['1'],certain,word,apls,apple,n
aqizi,F.,Axt,ax,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=24,['1'],certain,,akwɪzɪ,ax,n
ara,M.,"Aar, Adler",eagle (N.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,['1'],certain,form,ara,eagle,n
Arabia,"F., LN",Arabien,Arabia,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,['1'],certain,,araβɪa,Arabia,nvar
arbaidjan,V.,"arbeiten, dulden, kämpfen für","work hard, toil (V.), labour (V.), strive, struggle (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,['13'],certain,form,arbaɪðjan,"work_hard, toil, labour, strive, struggle",v
arbaiþs,F.,"Arbeit, Drangsal, Hemmung, Bedrängnis","labour (N.), work (N.), toil (N.), distress, arduousness, troublesomeness, hards>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,['14'],certain,,arbaɪθs,"labour, work, toil, distress, arduousness, troublesomeness, hards",n
arbi,N.,"Erbe (N.), Erbschaft","inheritance, heritage",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,['8'],certain,,arbɪ,"inheritance, heritage",n
arbinumja,M.,"„Erbnehmer“, Erbe (M.)","heir, inheritor",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,['3'],certain,,arbɪnumja,"heir, inheritor",n
arbja,M.,Erbe (M.),"heir, inheritor",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,['7'],certain,,arbja,"heir, inheritor",n
arbjō,F.,Erbin,"heiress, inheritress",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,['1'],certain,,arbjo,"heiress, inheritress",n
arca,F.,Grenzwall,"border (N.), rampart",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,['3'],certain,,arca,"border, rampart",n
areinsdags,M.,Dienstag,Tuesday,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,[],uncertain,word,arinsdaɣs,Tuesday,n
arga,M.,"Feigling, Elender",coward,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,[],uncertain,word,arɡa,coward,n
args,Adj.,"feige, elend",cowardly (Adj.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,[],uncertain,word,arɡs,cowardly,a
arh,N.,Pfeil,arrow,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,[],uncertain,word,arh,arrow,n
arha,M.,Pfeil,arrow,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,[],certain,word,arha,arrow,n
arƕa,F.,Pfeil,arrow,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,[],certain,word,arhwa,arrow,n
arƕazna,F.,Pfeil,arrow,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,['1'],certain,form,arhwazna,arrow,n
arjan,V.,"pflügen, ackern",plough,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,['1'],certain,form,arjan,plough,v
arjausdags,M.,Dienstag,Tuesday,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,[],uncertain,word,arjausdaɣs,Tuesday,n
arka,F.,"Arche, Kasten, Futteral, Beutel (F.) (1), Geldkasten","box (N.), chest, the ark of Noah, money-box",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,['3'],certain,,arka,"box, chest, the_ark_of_Noah, moneybox",n
arkaggilus,M.,Erzengel,archangel,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=25,['1'],certain,form,arkaŋɡɪlus,archangel,n
armahaírtei,F.,Barmherzigkeit,"mercy, compassion, pity (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['10'],certain,,armahɛrti,"mercy, compassion, pity",n
armahaírtiþa,F.,"Almosen, Barmherzigkeit","work of charity, charitable deed, mercy",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['3'],certain,,armahɛrtɪθa,"work_of_charity, charitable_deed, mercy",n
armahaírts,Adj.,barmherzig,"merciful, compassionate, commiserative",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['1'],certain,form,armahɛrts,"merciful, compassionate, commiserative",a
armaiō,F.,"Barmherzigkeit, Almosen","mercy, compassion, almsgiving (N.), charity",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['109'],certain,,armaɪo,"mercy, compassion, almsgiving, charity",n
arman,V.,"sich erbarmen, bemitleiden","have mercy on, have pity on, show compassion towards",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['10'],certain,form,arman,"have_mercy_on, have_pity_on, show_compassion_towards",v
arms,Adj.,"arm, beklagenswert, bemitleidenswert","poor (Adj.), pitiable, wretched, miserable",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,"['1', '1']",certain,,arms,"poor, pitiable, wretched, miserable",a
arms,M.,Arm,"arm, one of the two upper limbs of the body",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,"['2', '4']",certain,,arms,"arm, one_of_the_two_upper_limbs_of_the_body",n
arneis,Adj.,sicher,secure (Adj.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,[],uncertain,word,arnis,secure,a
arniba,Adv.,"sicher, gewiss","certain, securely",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['1'],certain,,arnɪβa,"certain, securely",r
arōmata,N.,"Spezereien, Gewürze","spices, aromatic oils or salves",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['1'],certain,,aromata,"spices, aromatic_oils_or_salves",n
arþ,Sb.,"Wohnsitz, Aufenthalt","residence, domicile",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,[],uncertain,word,arθ,"residence, domicile",n
arus,Adj.,"bereit, flink","ready, quick",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,[],uncertain,word,arus,"ready, quick",a
arwjō,Adv.,"umsonst, unentgeltlich, ohne Ursache, vergebens","gratis, without charge, in vain, for naught, for no reason, without cause",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['3'],certain,,arwjo,"gratis, without_charge, in_vain, for_naught, for_no_reason, without_cause",r
asans,F.,"Sommer, Erntezeit, Ernte","harvest time, summertime, harvest (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['8'],certain,,asans,"harvest_time, summertime, harvest",n
Asia,F.,Asien,Asia,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['4'],certain,form,asɪa,Asia,n
asiluqaírnus,F.,"Eselsmühle, Mühlstein","donkey-quern, donkey-mill, millstone",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['1'],certain,,asɪlukwɛrnus,"donkeyquern, donkeymill, millstone",n
asilus,M.,"Esel, Eselin",donkey,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['3'],certain,form,asɪlus,donkey,n
aska,F.,Äsche,a sort of fish,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,[],uncertain,word,aska,a_sort_of_fish,n
asks,F.,"Esche, Speer","ash-tree, spear (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,[],uncertain,word,asks,"ashtree, spear",n
asneis,M.,"Mietling, Tagelöhner","hired man, day-labourer, wage earner, paid servant",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['6'],certain,,asnis,"hired_man, daylabourer, wage_earner, paid_servant",n
asnō,F.,"Lohn, Zins","earnings, wages",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],uncertain,word,asno,"earnings, wages",n
aspa,F.,Espe,aspen,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],uncertain,word,aspa,aspen,n
assarjus,M.,"Ass (Münze), Pfennig, Kreuzer (M.) (2)","assarion, coin worth one ace",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['1'],certain,form,assarjus,"assarion, coin_worth_one_ace",n
assjan,V.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],uncertain,word,assjan,,v
assus,"V., M.",,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],uncertain,word,assus,,vn
assus,"V., M.",,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],uncertain,word,assus,,vn
astaþ,F.,"Sicherheit, Gewissheit","certainty, truth",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['1'],certain,form,astaθ,"certainty, truth",n
astaþs,F.,"Sicherheit, Gewissheit","certainty, truth",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],certain,form,astaθs,"certainty, truth",n
astaþs,F.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],certain,form,astaθs,,n
asts,M.,"Ast, Streu von Laub, Zweig, Palmzweig","branch (N.), bough",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['9'],certain,,asts,"branch, bough",n
astualdus,M.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],certain,form,astualdus,,n
at,"Präp., V.","von, bei, an, zu, unter, auf","from, at, with s.o., at a place, to, during, at the time of, while, when, with t>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['170'],certain,,at,"from, at, with_so, at_a_place, to, during, at_the_time_of, while, when, with_t",rv
ataþni,N.,Jahr,the year at hand,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['1'],certain,form,ataθnɪ,the_year_at_hand,n
ataugjan,V.,"zeigen, erscheinen (= sik ataugjan)","bring before the eyes of, show to",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['23'],certain,,atauɣjan,"bring_before_the_eyes_of, show_to",v
atbaíran,V.,"bringen, herbeibringen, darbringen, hinzutragen","bring, offer (V.), bring to, take to, present to",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['12'],certain,form,atbɛran,"bring, offer, bring_to, take_to, present_to",v
atdragan,V.,herunterziehen,pull (V.) down,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['1'],certain,form,atdraɣan,pull_down,v
atdriusan,V.,"fallen in, zufallen, fallen","fall towards, fall into, fall down at",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['7'],certain,form,atdrɪusan,"fall_towards, fall_into, fall_down_at",v
atfarjan,V.,"einlaufen, landen","reach land, arrive by boat, land (V.), put into port",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['1'],certain,form,atɸarjan,"reach_land, arrive_by_boat, land, put_into_port",v
atgagg,N.,Zugang,"access (N.), approach (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['2'],certain,form,atɡaŋɡ,"access, approach",n
atgaggan,V.,"hinzugehen, kommen, hinzukommen","go to, betake o.s. to, proceed to, come down to, come up to",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['62'],certain,form,atɡaŋɡan,"go_to, betake_os_to, proceed_to, come_down_to, come_up_to",v
atgāhts,F.,Eingang,entrance (N.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['1'],certain,word,atɡahts,entrance,n
atgāhts,Adj.,zugänglich,"accessible, approachable",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['2'],certain,word,atɡahts,"accessible, approachable",a
atgaraíhtjan,V.,"vollends in Ordnung bringen, wiederherstellen, einrichten","add to the rectification of, give additional correction to, set in order",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['1'],certain,form,atɡarɛhtjan,"add_to_the_rectification_of, give_additional_correction_to, set_in_order",v
atgiban,V.,"hingeben, übergeben (V.), geben, darreichen","give unto, deliver into the custody of, give over to",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['74'],certain,,atɡɪβan,"give_unto, deliver_into_the_custody_of, give_over_to",v
athabansikdu,V.,"„anhalten“, nähern","betake, approach (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['1'],certain,,athaβansɪkdu,"betake, approach",v
athafjan,V.,"„herabheben“, herabnehmen","lift down off, bring up off, take down",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['1'],certain,,athaɸjan,"lift_down_off, bring_up_off, take_down",v
athāhan,V.,"hinabhängen, hinablassen, hinunterlassen, niederlassen","lower while suspending, let down, let hang down, set down",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['2'],certain,form,athahan,"lower_while_suspending, let_down, let_hang_down, set_down",v
athaitan,V.,herzurufen,"summon (V.), call to one’s side, bid come",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['15'],certain,form,athaɪtan,"summon, call_to_ones_side, bid_come",v
athe,Num.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,[],certain,,athe,,r
atisk,M.,"Saat, Saatfeld","standing grain, grainfield, wheat fields",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['2'],certain,form,atɪsk,"standing_grain, grainfield, wheat_fields",n
atjan,V.,essen lassen?,let eat,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,[],uncertain,word,atjan,let_eat,v
atkunnan,V.,"gewähren, zuerkennen","acknowledge, learn to know",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['1'],certain,form,atkunnan,"acknowledge, learn_to_know",v
atlagjan,V.,"hinlegen, auflegen, Geld anlegen, legen, werfen, aufsetzen","lay on, lay onto, lay into, lay at, lay before, deposit at",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['8'],certain,form,atlaɣjan,"lay_on, lay_onto, lay_into, lay_at, lay_before, deposit_at",v
atlaþōn,V.,"berufen (V.), einladen (V.) (1), laden (V.) (1)","call to, bid come, call together, invite",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['2'],certain,form,atlaθon,"call_to, bid_come, call_together, invite",v
atlēweins,F.,Verrat,treason,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,[],uncertain,word,atlewins,treason,n
atlēweis,M.,Verräter,traitor,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,[],uncertain,word,atlewis,traitor,n
atligan,V.,"dabeiliegen, vorliegen, vorhanden sein (V.)","lie (V.) (2) at hand, lie (V.) (2) adjacent to",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['1'],certain,form,atlɪɣan,"lie_at_hand, lie_adjacent_to",v
atnēƕjan,V.,herannahen,"draw near to, approach (V.), come near",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['6'],certain,form,atnehwjan,"draw_near_to, approach, come_near",v
